file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.17\flink\src\test\java\org\apache\iceberg\flink\TestRowDataWrapper.java,org.apache.iceberg.flink.TestRowDataWrapper,class,10,13,1,12,5,2,0,21,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,1,2,1,0,2,5,7,17,2,20,3,0,0,1,47,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\ClientPoolImpl.java,org.apache.iceberg.ClientPoolImpl,class,8,9,1,8,27,1,0,20,36,0.7604167,0.17777778,0.46666667,12,0,6,2,4,0,10,3,0,0,8,1,0,8,0,0,6,0,1,107,8,2,0,3,0,2,7,15,0,11,5,0,0,0,47,1025,1
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\util\Filter.java,org.apache.iceberg.util.Filter$Iterator,innerclass,3,3,0,3,2,2,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\data\TestVectorizedOrcDataReader.java,org.apache.iceberg.spark.data.TestVectorizedOrcDataReader,class,14,15,1,14,8,1,0,49,3,0.5,1.0,1.0,6,1,4,2,0,0,4,0,0,0,3,3,1,2,0,0,1,0,10,59,1,2,0,4,0,29,43,17,0,18,2,0,0,3,53,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\dell\src\test\java\org\apache\iceberg\dell\mock\MockDellClientFactory.java,org.apache.iceberg.dell.mock.MockDellClientFactory,class,4,5,1,4,2,1,0,3,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,1,0,1,10,1,0,0,0,0,1,0,2,0,2,0,0,0,0,28,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\TestManifestListVersions.java,org.apache.iceberg.TestManifestListVersions,class,18,19,1,18,11,1,0,56,11,0.6352941,0.47619048,0.47619048,10,0,7,3,0,0,7,0,0,0,17,16,1,16,0,0,16,0,0,152,3,0,0,3,0,109,42,48,1,48,1,0,0,1,117,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\aws\src\main\java\org\apache\iceberg\aws\AwsProperties.java,org.apache.iceberg.aws.AwsProperties,class,15,30,15,15,99,1,0,72,2304,0.9744655,0.07039627,1.0,73,0,66,7,0,0,66,0,0,0,147,96,93,54,0,0,104,0,21,543,43,0,9,5,2,95,12,224,4,157,2,0,0,4,538,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\test\java\org\apache\iceberg\flink\source\BoundedTableFactory.java,org.apache.iceberg.flink.source.BoundedTableFactory$BoundedTableSource$Anonymous1,anonymous,10,10,0,10,2,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,4,0,4,0,0,0,0,19,-1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\rest\requests\TestReportMetricsRequestParser.java,org.apache.iceberg.rest.requests.TestReportMetricsRequestParser,class,6,6,0,6,5,1,0,27,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,43,7,12,3,12,0,1,0,5,35,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\hive3\src\main\java\org\apache\iceberg\mr\hive\vector\HiveIcebergVectorizedRecordReader.java,org.apache.iceberg.mr.hive.vector.HiveIcebergVectorizedRecordReader,class,7,7,0,7,6,2,0,7,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,32,4,0,0,1,0,0,1,6,0,2,2,0,0,0,45,17,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\SparkTestBase.java,org.apache.iceberg.spark.SparkTestBase,class,17,122,101,21,33,2,53,76,102,0.8235294,0.14166667,0.175,17,3,2,1,14,0,16,0,0,0,5,5,0,0,5,0,0,0,13,184,11,4,2,7,1,17,6,33,5,29,3,1,1,5,113,1025,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\rest\HttpMethod.java,org.apache.iceberg.rest.HttpMethod,enum,0,1,1,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,13,2,0,0,0,0,4,0,2,0,2,0,0,0,0,17,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\test\java\org\apache\iceberg\flink\sink\TestIcebergFilesCommitter.java,org.apache.iceberg.flink.sink.TestIcebergFilesCommitter,class,44,46,2,44,39,3,0,116,103,0.7419355,0.71895427,0.78431374,31,2,18,13,0,0,18,0,0,0,4,1,0,4,0,0,3,0,80,675,12,5,1,21,1,90,202,194,18,183,2,0,1,1,171,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\test\java\org\apache\iceberg\hadoop\TestCatalogUtilDropTable.java,org.apache.iceberg.hadoop.TestCatalogUtilDropTable,class,7,8,1,7,7,2,0,50,21,0.0,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,72,4,0,0,0,0,12,14,21,3,29,0,0,0,8,54,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\hive-metastore\src\test\java\org\apache\iceberg\hive\HiveTableBaseTest.java,org.apache.iceberg.hive.HiveTableBaseTest,class,10,15,5,10,10,2,4,32,43,0.90000004,0.04761905,0.04761905,10,8,2,3,5,0,7,0,0,0,6,5,0,2,0,4,5,0,13,40,8,0,0,0,0,8,3,7,0,8,0,0,0,1,48,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\source\TestIdentityPartitionData.java,org.apache.iceberg.spark.source.TestIdentityPartitionData,class,20,21,1,20,8,3,0,39,0,0.4666667,0.6,0.6,6,1,5,1,0,0,5,0,0,0,10,4,1,9,0,0,6,0,17,57,1,1,0,0,0,107,4,25,1,21,1,0,0,0,83,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\mr\src\test\java\org\apache\iceberg\mr\TestIcebergInputFormats.java,org.apache.iceberg.mr.TestIcebergInputFormats$TestInputFormat$Anonymous1,anonymous,4,4,0,4,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\test\java\org\apache\iceberg\flink\sink\shuffle\TestDataStatisticsOperator.java,org.apache.iceberg.flink.sink.shuffle.TestDataStatisticsOperator,class,38,39,1,38,9,1,0,39,14,0.7407408,1.0,1.0,9,0,5,4,0,0,5,0,0,0,3,0,0,3,0,0,2,0,4,88,4,0,0,4,2,22,22,24,0,26,1,1,0,1,69,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\orc\src\main\java\org\apache\iceberg\data\orc\GenericOrcReaders.java,org.apache.iceberg.data.orc.GenericOrcReaders$TimeReader,innerclass,4,4,0,4,2,1,0,1,1,1.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,18,10,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.16\flink\src\test\java\org\apache\iceberg\flink\source\BoundedTableFactory.java,org.apache.iceberg.flink.source.BoundedTableFactory$BoundedTableSource,innerclass,10,10,0,10,9,1,0,8,9,0.5833334,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,47,4,0,3,0,0,1,0,6,0,7,1,1,0,4,29,10,0
