file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,"OtlpStepTimer/6[io.micrometer.registry.otlp.Id,io.micrometer.registry.otlp.Clock,io.micrometer.registry.otlp.DistributionStatisticConfig,io.micrometer.registry.otlp.PauseDetector,java.util.concurrent.TimeUnit,long]",total,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,"OtlpStepTimer/6[io.micrometer.registry.otlp.Id,io.micrometer.registry.otlp.Clock,io.micrometer.registry.otlp.DistributionStatisticConfig,io.micrometer.registry.otlp.PauseDetector,java.util.concurrent.TimeUnit,long]",max,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,"OtlpStepTimer/6[io.micrometer.registry.otlp.Id,io.micrometer.registry.otlp.Clock,io.micrometer.registry.otlp.DistributionStatisticConfig,io.micrometer.registry.otlp.PauseDetector,java.util.concurrent.TimeUnit,long]",count,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,"OtlpStepTimer/6[io.micrometer.registry.otlp.Id,io.micrometer.registry.otlp.Clock,io.micrometer.registry.otlp.DistributionStatisticConfig,io.micrometer.registry.otlp.PauseDetector,java.util.concurrent.TimeUnit,long]",countTotal,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,_closingRollover/0,max,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,_closingRollover/0,countTotal,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-otlp\src\main\java\io\micrometer\registry\otlp\OtlpStepTimer.java,io.micrometer.registry.otlp.OtlpStepTimer,max/1[java.util.concurrent.TimeUnit],max,2
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\jvm\ClassLoaderMetrics.java,io.micrometer.core.instrument.binder.jvm.ClassLoaderMetrics,bindTo/1[io.micrometer.core.instrument.binder.jvm.MeterRegistry],tags,4
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\jvm\ClassLoaderMetrics.java,io.micrometer.core.instrument.binder.jvm.ClassLoaderMetrics,ClassLoaderMetrics/1[java.lang.Iterable<io.micrometer.core.instrument.binder.jvm.Tag>],tags,3
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\httpcomponents\hc5\MicrometerHttpClientInterceptor.java,io.micrometer.core.instrument.binder.httpcomponents.hc5.MicrometerHttpClientInterceptor,"MicrometerHttpClientInterceptor/4[io.micrometer.core.instrument.binder.httpcomponents.hc5.MeterRegistry,java.util.function.Function<io.micrometer.core.instrument.binder.httpcomponents.hc5.HttpRequest,java.lang.String>,java.lang.Iterable<io.micrometer.core.instrument.binder.httpcomponents.hc5.Tag>,boolean]",METER_NAME,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\httpcomponents\hc5\MicrometerHttpClientInterceptor.java,io.micrometer.core.instrument.binder.httpcomponents.hc5.MicrometerHttpClientInterceptor,"MicrometerHttpClientInterceptor/4[io.micrometer.core.instrument.binder.httpcomponents.hc5.MeterRegistry,java.util.function.Function<io.micrometer.core.instrument.binder.httpcomponents.hc5.HttpRequest,java.lang.String>,java.lang.Iterable<io.micrometer.core.instrument.binder.httpcomponents.hc5.Tag>,boolean]",responseInterceptor,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\httpcomponents\hc5\MicrometerHttpClientInterceptor.java,io.micrometer.core.instrument.binder.httpcomponents.hc5.MicrometerHttpClientInterceptor,"MicrometerHttpClientInterceptor/4[io.micrometer.core.instrument.binder.httpcomponents.hc5.MeterRegistry,java.util.function.Function<io.micrometer.core.instrument.binder.httpcomponents.hc5.HttpRequest,java.lang.String>,java.lang.Iterable<io.micrometer.core.instrument.binder.httpcomponents.hc5.Tag>,boolean]",requestInterceptor,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\httpcomponents\hc5\MicrometerHttpClientInterceptor.java,io.micrometer.core.instrument.binder.httpcomponents.hc5.MicrometerHttpClientInterceptor,"MicrometerHttpClientInterceptor/4[io.micrometer.core.instrument.binder.httpcomponents.hc5.MeterRegistry,java.util.function.Function<io.micrometer.core.instrument.binder.httpcomponents.hc5.HttpRequest,java.lang.String>,java.lang.Iterable<io.micrometer.core.instrument.binder.httpcomponents.hc5.Tag>,boolean]",timerByHttpContext,2
